"Country","Energy","Energy indust","Manufacturing","Transport","Other sectors","Fugitive emissions","Industrial processes","Solvents","Agriculture","LULUCF","Waste","num","",""
"Australia","400931.18","219457.01","47244.59","79079.45","19413.73","34492.23","28402.81","0.00","90111.69","13786.53","16619.91","1.00","Total GHG Emissions by country and sector of emission (40 countries) in 2006",""
"Austria","69845.50","15508.05","15983.59","23119.30","14175.79","930.89","10773.09","385.29","7889.33","-18154.32","2197.05","2.00","Unit: Gigagrams of Carbon Dioxide Equivalent",""
"Belarus","57634.39","32520.65","8576.21","5616.94","8605.40","1666.15","4228.28","67.49","13946.89","-25996.91","5118.65","3.00","LULUCF","Land Use, Land Use Change and Forestry sector"
"Belgium","110860.22","27691.96","27630.14","26101.71","28790.88","550.30","14457.63","248.85","10182.32","-1060.89","1221.00","4.00","",""
"Bulgaria","52204.10","29300.76","10287.62","8719.18","2065.95","1793.10","6793.99","55.40","4720.07","-18222.65","7569.80","5.00","",""
"Canada","583099.57","184845.26","64179.54","192124.73","75158.11","66791.93","54439.56","322.36","61842.95","31342.17","20927.30","6.00","",""
"Croatia","22548.37","6656.55","3767.99","6225.93","3763.25","2134.65","4004.40","182.39","3507.50","-7490.29","591.33","7.00","",""
"Czech Republic","121778.38","56899.24","27907.77","18197.29","12047.15","5650.67","14789.56","512.93","7643.66","-3374.59","3479.41","8.00","",""
"Denmark","56902.52","29878.49","5711.72","13582.50","7087.42","514.57","2497.97","139.29","9605.14","-1802.32","1326.29","9.00","",""
"Estonia","16310.97","12123.08","541.69","2427.56","433.29","785.35","655.61","0.00","1201.66","-3471.41","707.95","10.00","",""
"Finland","66003.87","32896.83","11725.26","14358.00","5304.56","169.30","6124.76","100.18","5564.46","-33443.84","2497.24","11.00","",""
"France","395752.47","66114.51","79469.25","139932.92","104108.49","6127.30","40565.79","1296.47","95354.27","-69891.89","13557.66","12.00","",""
"Germany","818904.99","370170.73","102423.87","162011.16","170970.20","11767.18","108177.85","1174.01","63542.44","-36398.92","12994.53","13.00","",""
"Greece","104681.13","54944.08","9683.85","24126.38","14312.65","1614.17","13087.51","159.64","11644.91","-5198.69","3539.15","14.00","",""
"Hungary","59863.27","19407.37","8851.33","12683.56","16768.78","2152.23","5894.72","343.84","8406.29","-5909.89","4116.84","15.00","",""
"Iceland","2164.47","33.72","407.87","979.41","560.55","156.48","1341.37","9.36","511.72","1127.21","207.29","16.00","",""
"Ireland","46141.47","15427.79","5888.64","13718.94","10943.74","162.36","3261.94","80.01","18447.52","-489.00","1831.42","17.00","",""
"Italy","473681.03","159818.54","83778.33","133197.60","88404.93","7423.16","36782.64","2148.17","36642.13","-112209.00","18668.23","18.00","",""
"Japan","1194702.30","388509.45","376847.51","250039.78","177857.19","462.36","72932.48","266.41","27368.18","-91500.92","44811.21","19.00","",""
"Latvia","8544.22","2103.31","1203.32","3453.93","1674.79","105.73","249.94","64.03","1998.83","-17815.36","764.42","20.00","",""
"Liechtenstein","243.63","2.80","37.44","82.52","116.15","1.07","4.20","1.11","22.33","-6.55","1.78","21.00","",""
"Lithuania","13369.33","5469.14","1587.15","4508.08","1572.47","220.53","3951.16","90.94","4284.33","-7951.88","1526.02","22.00","",""
"Luxembourg","11812.00","1472.04","1670.25","7287.87","1322.41","59.43","754.48","15.08","694.86","-294.93","45.49","23.00","",""
"Monaco","91.84","23.04","0.00","34.15","34.65","0.00","0.76","0.00","0.00","-0.04","0.98","24.00","",""
"Netherlands","167085.34","62287.44","27557.12","36147.03","38479.30","2225.96","15659.65","216.09","18183.47","2574.36","6332.04","25.00","",""
"New Zealand","34069.29","9570.74","5078.36","14406.36","3245.56","1768.28","4233.07","40.30","37667.62","-22749.26","1857.81","26.00","",""
"Norway","38403.38","12563.15","3970.32","14993.82","3472.92","3122.56","9228.54","169.24","4208.99","-27829.97","1501.71","27.00","",""
"Poland","329839.89","188420.43","34012.27","38620.49","54905.98","13880.72","27217.63","705.75","34291.22","-40504.79","8404.85","28.00","",""
"Portugal","59244.02","21889.47","9972.10","19898.83","5915.23","1491.60","7922.72","338.97","8434.13","-4163.58","6799.31","29.00","",""
"Romania","105431.52","48971.92","19385.63","12351.77","13354.57","11367.63","20811.65","208.50","20190.60","-37494.88","10037.75","30.00","",""
"Russian Federation","1786907.78","904255.09","121438.96","191071.42","139026.69","395638.29","198302.45","531.96","131478.90","287788.54","73017.60","31.00","",""
"Slovakia","37187.34","11187.10","13401.47","6001.74","4557.10","982.95","5942.42","82.43","3162.32","-3028.72","2527.90","32.00","",""
"Slovenia","16573.21","6378.66","2589.20","4797.20","2343.98","464.17","1242.61","44.15","2029.21","-4733.09","702.17","33.00","",""
"Spain","338281.26","117175.91","70642.71","108618.96","37897.31","3946.37","35094.60","1513.25","46181.38","-33001.51","12268.87","34.00","",""
"Sweden","48736.85","11374.49","11349.88","20190.59","4821.56","754.18","6151.16","303.25","8503.64","-38006.52","2054.04","35.00","",""
"Switzerland","43923.86","3729.85","6022.81","16011.47","17262.74","284.95","3061.18","238.35","5288.41","-2230.48","697.27","36.00","",""
"Turkey","258206.61","90885.52","77300.59","44394.14","44009.63","1616.72","27125.29","0.00","16366.61","-76104.34","30064.88","37.00","",""
"Ukraine","305112.33","110799.00","49244.97","43893.13","46988.95","52791.18","97166.31","338.52","30447.48","-32625.03","10118.85","38.00","",""
"United Kingdom","562860.98","218340.34","83965.90","136714.85","107027.51","14038.41","26801.31","0.00","44117.15","-1961.66","22007.29","39.00","",""
"United States","6076897.36","2360262.44","868357.30","1868471.54","541736.79","223496.14","320904.12","4387.15","454144.99","-846793.30","160987.24","40.00","",""
